sizes: [4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576]
goos: linux
goarch: amd64
pkg: github.com/pgillich/go-examples/pkg/slice_map_bm
cpu: 11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576]
,linux
,amd64
,github.com/pgillich/go-examples/pkg/slice_map_bm
,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
,sec/op,CI
4 Slice Dyn 8,4.2995000000000004e-12,13%
4 Slice Fix 8,9.0685e-12,2%
4 Map Dyn 8,5.015000000000001e-12,4%
4 Map Fix 8,4.9550000000000006e-12,7%
8 Slice Dyn 8,4.249000000000001e-12,5%
8 Slice Fix 8,9.290000000000001e-12,2%
8 Map Dyn 8,5.0065e-12,4%
8 Map Fix 8,4.847500000000001e-12,9%
16 Slice Dyn 8,4.3045000000000005e-12,21%
16 Slice Fix 8,9.372500000000001e-12,3%
16 Map Dyn 8,4.836000000000001e-12,7%
16 Map Fix 8,4.95e-12,3%
32 Slice Dyn 8,4.3715e-12,5%
32 Slice Fix 8,9.434e-12,2%
32 Map Dyn 8,4.9495e-12,6%
32 Map Fix 8,4.8525e-12,4%
64 Slice Dyn 8,4.3465e-12,7%
64 Slice Fix 8,9.3775e-12,4%
64 Map Dyn 8,4.9415e-12,3%
64 Map Fix 8,4.9450000000000004e-12,5%
128 Slice Dyn 8,4.429000000000001e-12,4%
128 Slice Fix 8,9.3165e-12,4%
128 Map Dyn 8,4.983e-12,4%
128 Map Fix 8,5.012e-12,5%
256 Slice Dyn 8,4.407e-12,2%
256 Slice Fix 8,9.316500000000002e-12,2%
256 Map Dyn 8,5.094000000000001e-12,3%
256 Map Fix 8,5.076e-12,3%
512 Slice Dyn 8,4.7000000000000006e-12,3%
512 Slice Fix 8,9.851e-12,4%
512 Map Dyn 8,5.247500000000001e-12,8%
512 Map Fix 8,5.4105e-12,20%
1024 Slice Dyn 8,5.502500000000001e-12,7%
1024 Slice Fix 8,1.0465000000000001e-11,8%
1024 Map Dyn 8,5.2005e-12,8%
1024 Map Fix 8,7.058e-12,14%
2048 Slice Dyn 8,9.0455e-12,1%
2048 Slice Fix 8,1.4015000000000001e-11,5%
2048 Map Dyn 8,5.3555e-12,6%
2048 Map Fix 8,7.316500000000001e-12,6%
4096 Slice Dyn 8,2.1570000000000003e-11,7%
4096 Slice Fix 8,2.6245000000000002e-11,1%
4096 Map Dyn 8,5.53e-12,5%
4096 Map Fix 8,7.491999999999999e-12,4%
8192 Slice Dyn 8,7.220500000000001e-11,2%
8192 Slice Fix 8,7.8435e-11,2%
8192 Map Dyn 8,6.2125e-12,7%
8192 Map Fix 8,7.7885e-12,3%
16384 Slice Dyn 8,2.7650000000000003e-10,2%
16384 Slice Fix 8,2.8300000000000006e-10,2%
16384 Map Dyn 8,7.141000000000001e-12,3%
16384 Map Fix 8,8.6695e-12,4%
32768 Slice Dyn 8,4.7475e-12,5%
32768 Slice Fix 8,4.8345e-12,6%
32768 Map Dyn 8,1.0245000000000001e-11,8%
32768 Map Fix 8,1.0440000000000002e-11,4%
65536 Slice Dyn 8,5.204000000000001e-12,5%
65536 Slice Fix 8,5.032e-12,2%
65536 Map Dyn 8,1.7430000000000005e-11,9%
65536 Map Fix 8,1.463e-11,4%
131072 Slice Dyn 8,5.9745e-12,10%
131072 Slice Fix 8,5.3575e-12,5%
131072 Map Dyn 8,3.3915000000000006e-11,9%
131072 Map Fix 8,2.3410000000000003e-11,4%
262144 Slice Dyn 8,7.927e-12,12%
262144 Slice Fix 8,5.643000000000001e-12,6%
262144 Map Dyn 8,7.242e-11,13%
262144 Map Fix 8,4.818000000000001e-11,8%
524288 Slice Dyn 8,1.2645000000000002e-11,17%
524288 Slice Fix 8,6.6200000000000005e-12,4%
524288 Map Dyn 8,1.7055000000000002e-10,5%
524288 Map Fix 8,9.388500000000001e-11,13%
1048576 Slice Dyn 8,2.8925e-11,23%
1048576 Slice Fix 8,8.377000000000001e-12,3%
1048576 Map Dyn 8,3.63e-10,3%
1048576 Map Fix 8,2.006e-10,2%
geomean,1.0562311839252265e-11

,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576]
,linux
,amd64
,github.com/pgillich/go-examples/pkg/slice_map_bm
,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
,fill_ns/op,CI
4 Slice Dyn 8,2.65e-06,36%
4 Slice Fix 8,2.55e-06,29%
4 Map Dyn 8,3.8e-06,124%
4 Map Fix 8,4.35e-06,17%
8 Slice Dyn 8,3e-06,10%
8 Slice Fix 8,2.5e-06,12%
8 Map Dyn 8,4.3e-06,21%
8 Map Fix 8,4.5e-06,78%
16 Slice Dyn 8,4.45e-06,21%
16 Slice Fix 8,3.4e-06,21%
16 Map Dyn 8,8.25e-06,25%
16 Map Fix 8,5.45e-06,14%
32 Slice Dyn 8,6.3e-06,78%
32 Slice Fix 8,3.8e-06,11%
32 Map Dyn 8,1.085e-05,25%
32 Map Fix 8,6.8500000000000005e-06,26%
64 Slice Dyn 8,5.6e-06,36%
64 Slice Fix 8,2.8e-06,18%
64 Map Dyn 8,1.565e-05,22%
64 Map Fix 8,8.599999999999999e-06,12%
128 Slice Dyn 8,7.05e-06,43%
128 Slice Fix 8,4.25e-06,15%
128 Map Dyn 8,2.43e-05,37%
128 Map Fix 8,1.02e-05,95%
256 Slice Dyn 8,8e-06,12%
256 Slice Fix 8,4.8e-06,12%
256 Map Dyn 8,3.4800000000000006e-05,5%
256 Map Fix 8,1.79e-05,7%
512 Slice Dyn 8,8.9e-06,10%
512 Slice Fix 8,5.35e-06,12%
512 Map Dyn 8,6.16e-05,6%
512 Map Fix 8,3.22e-05,53%
1024 Slice Dyn 8,1.41e-05,93%
1024 Slice Fix 8,8.95e-06,13%
1024 Map Dyn 8,0.00011075000000000001,10%
1024 Map Fix 8,6.79e-05,10%
2048 Slice Dyn 8,2.17e-05,60%
2048 Slice Fix 8,1.3850000000000001e-05,33%
2048 Map Dyn 8,0.00021085,9%
2048 Map Fix 8,0.00013345000000000002,6%
4096 Slice Dyn 8,3.875e-05,51%
4096 Slice Fix 8,1.895e-05,12%
4096 Map Dyn 8,0.00041,8%
4096 Map Fix 8,0.00025184999999999997,5%
8192 Slice Dyn 8,5.8399999999999997e-05,7%
8192 Slice Fix 8,3.0799999999999996e-05,35%
8192 Map Dyn 8,0.0008589,7%
8192 Map Fix 8,0.00049855,3%
16384 Slice Dyn 8,0.000116,12%
16384 Slice Fix 8,5.4900000000000006e-05,30%
16384 Map Dyn 8,0.0018765000000000001,1%
16384 Map Fix 8,0.0010175,6%
32768 Slice Dyn 8,0.0002649,26%
32768 Slice Fix 8,0.00011899999999999999,4%
32768 Map Dyn 8,0.0041705,9%
32768 Map Fix 8,0.0021195,4%
65536 Slice Dyn 8,0.0006183499999999999,43%
65536 Slice Fix 8,0.00023975,3%
65536 Map Dyn 8,0.0095055,20%
65536 Map Fix 8,0.0045804999999999995,5%
131072 Slice Dyn 8,0.0014605,14%
131072 Slice Fix 8,0.0004815,7%
131072 Map Dyn 8,0.02181,12%
131072 Map Fix 8,0.0089985,7%
262144 Slice Dyn 8,0.0033875,30%
262144 Slice Fix 8,0.000985,16%
262144 Map Dyn 8,0.049425,19%
262144 Map Fix 8,0.021150000000000002,8%
524288 Slice Dyn 8,0.0080185,29%
524288 Slice Fix 8,0.001949,4%
524288 Map Dyn 8,0.12445,6%
524288 Map Fix 8,0.044695,15%
1048576 Slice Dyn 8,0.024465,20%
1048576 Slice Fix 8,0.0038585,2%
1048576 Map Dyn 8,0.27449999999999997,5%
1048576 Map Fix 8,0.1053,3%
geomean,0.0001125768644255856

,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576]
,linux
,amd64
,github.com/pgillich/go-examples/pkg/slice_map_bm
,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
,gc_ns/op,CI
4 Slice Dyn 8,0.004290499999999999,13%
4 Slice Fix 8,0.0044785,3%
4 Map Dyn 8,0.005007,4%
4 Map Fix 8,0.0049475,7%
8 Slice Dyn 8,0.0042415000000000005,5%
8 Slice Fix 8,0.004662,4%
8 Map Dyn 8,0.004999,4%
8 Map Fix 8,0.0048400000000000006,9%
16 Slice Dyn 8,0.004294,21%
16 Slice Fix 8,0.0047195,3%
16 Map Dyn 8,0.004823,7%
16 Map Fix 8,0.004940999999999999,3%
32 Slice Dyn 8,0.004358,5%
32 Slice Fix 8,0.0046825,2%
32 Map Dyn 8,0.0049335,6%
32 Map Fix 8,0.0048415,4%
64 Slice Dyn 8,0.0042959999999999995,8%
64 Slice Fix 8,0.004649,5%
64 Map Dyn 8,0.0049225,3%
64 Map Fix 8,0.00493,5%
128 Slice Dyn 8,0.004398,4%
128 Slice Fix 8,0.0046735,4%
128 Map Dyn 8,0.004948,4%
128 Map Fix 8,0.004991,5%
256 Slice Dyn 8,0.004326,2%
256 Slice Fix 8,0.0046235,3%
256 Map Dyn 8,0.0050465,3%
256 Map Fix 8,0.005044,3%
512 Slice Dyn 8,0.0044174999999999996,3%
512 Slice Fix 8,0.0048115,5%
512 Map Dyn 8,0.0051625,8%
512 Map Fix 8,0.005357,20%
1024 Slice Dyn 8,0.0043595000000000005,9%
1024 Slice Fix 8,0.004627,8%
1024 Map Dyn 8,0.0050485,8%
1024 Map Fix 8,0.006933,14%
2048 Slice Dyn 8,0.0043935,2%
2048 Slice Fix 8,0.0044825,8%
2048 Map Dyn 8,0.005072999999999999,6%
2048 Map Fix 8,0.0070775000000000005,5%
4096 Slice Dyn 8,0.004476000000000001,4%
4096 Slice Fix 8,0.0045255,2%
4096 Map Dyn 8,0.004949,6%
4096 Map Fix 8,0.007015,4%
8192 Slice Dyn 8,0.0045190000000000004,2%
8192 Slice Fix 8,0.004496999999999999,2%
8192 Map Dyn 8,0.004954500000000001,11%
8192 Map Fix 8,0.0068505,3%
16384 Slice Dyn 8,0.004521,2%
16384 Slice Fix 8,0.0045265,2%
16384 Map Dyn 8,0.0046685,4%
16384 Map Fix 8,0.006728,4%
32768 Slice Dyn 8,0.0044695,5%
32768 Slice Fix 8,0.004712,6%
32768 Map Dyn 8,0.004677499999999999,14%
32768 Map Fix 8,0.006531,5%
65536 Slice Dyn 8,0.004548,2%
65536 Slice Fix 8,0.0047855,2%
65536 Map Dyn 8,0.0047035,3%
65536 Map Fix 8,0.00611,4%
131072 Slice Dyn 8,0.004456,7%
131072 Slice Fix 8,0.004831,5%
131072 Map Dyn 8,0.0047335,3%
131072 Map Fix 8,0.005608,7%
262144 Slice Dyn 8,0.0044080000000000005,5%
262144 Slice Fix 8,0.0046675,6%
262144 Map Dyn 8,0.004734,3%
262144 Map Fix 8,0.00551,11%
524288 Slice Dyn 8,0.0045975,4%
524288 Slice Fix 8,0.0046665000000000005,5%
524288 Map Dyn 8,0.0047385,4%
524288 Map Fix 8,0.004663499999999999,18%
1048576 Slice Dyn 8,0.004624,3%
1048576 Slice Fix 8,0.0044865,5%
1048576 Map Dyn 8,0.00496,5%
1048576 Map Fix 8,0.004588,4%
geomean,0.0048666715200974715

,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576]
,linux
,amd64
,github.com/pgillich/go-examples/pkg/slice_map_bm
,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz
,seek_ns/op,CI
4 Slice Dyn 8,3e-07,33%
4 Slice Fix 8,3.5e-07,14%
4 Map Dyn 8,4.5e-07,33%
4 Map Fix 8,4e-07,25%
8 Slice Dyn 8,5e-07,40%
8 Slice Fix 8,5e-07,0%
8 Map Dyn 8,6e-07,33%
8 Map Fix 8,6e-07,17%
16 Slice Dyn 8,1.1e-06,9%
16 Slice Fix 8,1.35e-06,19%
16 Map Dyn 8,9.5e-07,16%
16 Map Fix 8,9e-07,11%
32 Slice Dyn 8,2.85e-06,61%
32 Slice Fix 8,2.65e-06,13%
32 Map Dyn 8,1.5e-06,13%
32 Map Fix 8,1.4e-06,7%
64 Slice Dyn 8,6.15e-06,15%
64 Slice Fix 8,6.650000000000001e-06,5%
64 Map Dyn 8,2.6e-06,4%
64 Map Fix 8,2.5e-06,8%
128 Slice Dyn 8,2.01e-05,8%
128 Slice Fix 8,2.1550000000000002e-05,3%
128 Map Dyn 8,4.849999999999999e-06,5%
128 Map Fix 8,4.8e-06,6%
256 Slice Dyn 8,7.115e-05,6%
256 Slice Fix 8,7.72e-05,3%
256 Map Dyn 8,9.400000000000001e-06,6%
256 Map Fix 8,9.35e-06,4%
512 Slice Dyn 8,0.00027194999999999997,8%
512 Slice Fix 8,0.00029665,4%
512 Map Dyn 8,1.81e-05,7%
512 Map Fix 8,1.9699999999999998e-05,22%
1024 Slice Dyn 8,0.0011175,2%
1024 Slice Fix 8,0.001204,6%
1024 Map Dyn 8,3.74e-05,5%
1024 Map Fix 8,5.18e-05,8%
2048 Slice Dyn 8,0.0046245,2%
2048 Slice Fix 8,0.0048925,5%
2048 Map Dyn 8,7.58e-05,5%
2048 Map Fix 8,0.00010275,4%
4096 Slice Dyn 8,0.017065,9%
4096 Slice Fix 8,0.017140000000000002,1%
4096 Map Dyn 8,0.000148,7%
4096 Map Fix 8,0.00020865,4%
8192 Slice Dyn 8,0.067625,2%
8192 Slice Fix 8,0.06939000000000001,2%
8192 Map Dyn 8,0.0003152,28%
8192 Map Fix 8,0.00043119999999999996,4%
16384 Slice Dyn 8,0.2717,2%
16384 Slice Fix 8,0.27385000000000004,3%
16384 Map Dyn 8,0.0006165000000000001,5%
16384 Map Fix 8,0.0009054,5%
32768 Map Dyn 8,0.001338,11%
32768 Map Fix 8,0.001851,5%
65536 Map Dyn 8,0.0028255,9%
65536 Map Fix 8,0.0038855,5%
131072 Map Dyn 8,0.0070895,5%
131072 Map Fix 8,0.008833500000000001,2%
262144 Map Dyn 8,0.01827,2%
262144 Map Fix 8,0.02089,9%
524288 Map Dyn 8,0.041010000000000005,1%
524288 Map Fix 8,0.0437,12%
1048576 Map Dyn 8,0.083065,1%
1048576 Map Fix 8,0.090885,2%
geomean,0.00011585534673841659
